id,Title,Languages,therapy_name,experience,Language
2036,Divyaa Kummar,English|Hindi,"Tarot Card Reading, Bach Flower remedies, Spiritual Healing , Meditation","17,5, 15, 15","English,Hindi"
2037,Ellaeenah,English,"Bach Flower Remedies, Mindfulness, Inner Child Healing , Spiritual Healing , Tarot Card Reading","6, 15, 15, 15, 15",English
2038,Geeta Bhansali,,"Bowen Therapy, Theta Healing, Mindfulness Voice Movement Therapy","10, 9,15, 3",
2042,Radhika Deshpande,,"Past Life Regression, Spiritual Conselor","7, 7",
2043,Shilpa Desai,,Mandala,1,
2045,Ambica Khanna,,"Past Life Regression, Tarot Card Reading, Ana Pana Sati , Dream Analysis","12, 12, 12,9",
2046,Camelia Oberoi,,Carnio Sacral Therapy,2.5,
2047,Dr. Preeti Kohli,,"Past Life Regression, Homeopathy, Rebirthing, Inner Child Healing","7,17, 7, 4",
2048,Dr.Tamanna Chellani,English|Hindi|Marathi,"Homeopathy,  Regression Therapy, Past Life Regression, Inner Child Healing ,","21,7,7 2","English, Hindi, Marathi"
2049,Priya Soparkar,,"Past Life Regression, Consicous Parenting Conselor, Rebirthing, Inner Child Healing","5, 2, 4, 4",