Parent Therapy,Therapy exact name and spelling reqd,Image,Description,
,Energy Healing,THRIIVE MODALITIES ENERGY HEALING CATEGORY SYMBOL.png,,
Energy Healing,Reiki,THRIIVE MODALITIES ENERGY HEALING-REIKI.png,"Reiki is an ancient Japanese form of energy healing where the practitioner channelizes Chi energy from the Universal Life Force through their hands to a person, place, event, relationship or even a long-distance occurrence. Reiki is also used for chakra healing, chakra balancing, healing chronic ailments, removing energetic blocks and cleansing the auric field. This extra energy infused with the astral body kick-starts the innate ability of the body to heal itself, rejuvenates the flow of Chi and clears emotional blocks.",
Energy Healing,Pranic Healing,THRIIVE MODALITIES ENERGY HEALING-PRANIK HEALING.png,"Pranic Healing This is an ancient yogic practice where one uses prana(cosmic energy)to heal various ailments in the body by contributing pure prana to the vital body. Pranic healing is used to balance and heal chakras, which aid in healing old emotional and karmic energetic blocks. It facilitates the smooth flow of prana in the vital body, which in turn heals the physical and emotional body.",
Energy Healing,Theta Healing,THRIIVE MODALITIES ENERGY HEALING-THETA HEALING.png,"Theta Healing occurs in a deep meditative state that generates theta brain waves. These theta brain wave states are used to establish a strong connection with the soul on a higher vibrational level to facilitate healing. With this discovery, using the concept of seven planes of existence, one can connect to the Creator of All That Is. One can view the limiting beliefs from a higher perspective, replace them with changed positive beliefs and thereby, see miraculous healings for oneself as well as others.",
Energy Healing,Crystal Healing,THRIIVE MODALITIES ENERGY HEALING-CRYSTAL HEALING.png,Crystal Healing or Therapy is a form of vibrational medicine that involves using the high-energy consciousness of crystals to facilitate healing. Crystals have healing vibrations that heal the receiver balancing their chakras and aura as they are a part of earth consciousness and very much alive.,
Energy Healing,Access Bars,THRIIVE MODALITIES ENERGY HEALING-ACCESS BARS.png,"Access Bars are 32 points on one’s head which when gently touched, release anything that doesn’t allow one to receive. These points have the storage of all the thoughts, beliefs, ideas, and emotions that one has stored in any lifetime. Each Access Bar session is capable of releasing 5-10 thousand years of limitations corresponding with the specific bar being touched. This is a nurturing and relaxing process where one can let go of any barriers and be willing to change in all aspects of one’s life.",
Energy Healing,Sujok Therapy,THRIIVE MODALITIES ENERGY HEALING-SUJOK THERAPY.png,"Sujok Therapy originated in Onnuri Medicine and is a system of treatment comprising of techniques that prevent and cure illnesses and restore health without any drugs. The basis of Sujok Therapy healing is the discovery of self-regulation of the energy system of the human body whereby each hand, foot and other locations are connected to and carry information of each organ. The hands and feet structurally correspond to micro points that can be used most effectively as remote controls to treat any diseased organ/part of the body.",
Energy Healing,Shaktipath,THRIIVE MODALITIES ENERGY HEALING-SHAKTIPATH.png,"Shaktipath is transmitted by an enlightened master to a disciple by a mantra, touch or look at the third eye chakra that awakens the dormant energy of the cosmic life force known as Kundalini, within the receiver.",
Energy Healing,Kundalini Activation,THRIIVE MODALITIES ENERGY HEALING-KUNDALINI ACTIVATION.png,"Kundalini is the divine cosmic force which is located at the base of the spine. Once activated, it can unlock spiritual siddhis and can also help one achieve enlightenment. It can be activated by spiritual masters and clears the Chakras when it flows in channels called Nadis. It results in clarity of thoughts and improved memory apart from giving relief from physical ailments.",
Energy Healing,DNA Activation,THRIIVE MODALITIES ENERGY HEALING-DNA ACTIVATION.png,"DNA Activation is the awakening of human consciousness that is expressed within the unlocking of the human DNA to its hidden full potential. There are still many undiscovered mysteries within each human being. In this new consciousness, the planet has shifted into awakening and there are many who are making this shift through a re-connection with their I Am presence. One can work with the DNA and give instructions to it so that each strand can be fully activated, and the person can embrace their full potential as creators.",
Energy Healing,Holographic Healing,THRIIVE MODALITIES ENERGY HEALING-HOLOGRAPHIC HEALING.png,"Holographic Healing of ancestral DNA is vibrational healing at the cutting edge. The techniques take you to your deepest self, where your ancestral stories are stored. As you discover the beliefs and feelings of your past, you will have the key to the present and clearly see the driving force behind your thoughts and emotions creating your life today. These techniques enable you with tools to assist you in the holographic repair and replacement of many genes like those for depression, fear, obesity, aging, anger, phobia and so on.",
Energy Healing,Applied Kinesiology,THRIIVE MODALITIES ENERGY HEALING-APPLIED KINESIOLOGY.png,"Applied Kinesiology is also the study of biomechanics (body movement), and is also now known as a method of ‘muscle strength testing’. Applied Kinesiology is based on the belief that muscles are linked to specific organs and glands, and their weakness indicates problems such as nerve damage, low blood supply, chemical imbalance and other neurological issues. Practitioners diagnose and treat this by correcting the muscle weakness that corresponds to the internal organs. Treatments can range from testing and counseling coupled with deep massage, joint manipulation, acupuncture and dietary therapies.",
Energy Healing,Vastu Shastra,THRIIVE MODALITIES ENERGY HEALING-VASTU SHASTRA.png,"Vastu Shastra is an ancient Indian science of architecture that creates flow of energy in a home, office or any other setting. Vastu experts use the knowledge and study of five elements, four directions, nature, magnetic energy fields and gravity to help people streamline and determine how it affects all aspects of their life such as health, wealth, abundance and prosperity.",
Energy Healing,Feng Shui,THRIIVE MODALITIES ENERGY HEALING-FENG SHUI.png,Feng Shui is an ancient Chinese study of the flow of Chi energy. It examines how the arrangement and placement of objects within a space affects the energy flow in the environment and how these objects interact with and also influence the flow of one’s personal energy. This influences how one thinks and behaves which in turn influences every area of one’s personal and professional life.,
Energy Healing,Prana Violet Healing,THRIIVE MODALITIES ENERGY HEALING-PRANA VIOLET HEALING.png,"Prana Violet Healing is a simple Energy healing technique where healing is done using the Prana Healing Wand (a Divine Tool used to sense Energy and to Heal – all participants will be given a Wand). You can heal yourself, heal others ans also do distant healing for anyone who may be present anywhere in this world. Healing is done following the Universal Divine Law of Karma which is also known as the Law of Action and Reaction. Prana Violet Healing helps one understand the root cause of suffering or disease and then heal it in a systematic way.",
Energy Healing,Psychic Surgery,THRIIVE MODALITIES ENERGY HEALING-PSYCHIC SURGERY.png,"Psychic Surgery is practiced with bare hands and no surgical instruments by expert healers. These healers are able to use the understanding of Chi energy to enter the body using their bare hands and remove diseased and/or dead tissues, tumors, energy blockages, calcium deposits and other manifested physical matter that doesn’t need to be there. This method instantly and miraculously heals the recipient without inflicting any pain or even leaving a scar on their body.",
Energy Healing,Magnified Healing Phase,THRIIVE MODALITIES ENERGY HEALING-MAGNIFIED HEALING PHASE.png,"Magnified Healing Phase is a holistic approach to healing the body naturally. The practitioner combines healing energy with voice and movement. It establishes a constant flow of energy from the heart to the Source, the All That Is, through all of the spiritual centers down to the diamond at the center of the Earth. The practitioner places one hand in front of the body and the other at the back of the client who is receiving the healing. The energy goes from one hand to the other through the body of the client leading to healing on the physical, emotional, mental and spiritual levels.",
Energy Healing,Preeti Siddhi,THRIIVE MODALITIES ENERGY HEALING-PREETI SIDDHI.png,"Preeti Siddhi is the divine power that exists within each human being. However, everyone cannot access it as it is clouded by the ego mind. One can only access it by allowing oneself the freedom of ’being’ and this enables the divine love and compassion to just overflow thereby assisting humans in healing their own bodies, minds and spirit. It is a ‘Siddhi’ (Spiritual Power) of ‘Preeti’ (Love and Compassion), one has to go inwards and receive it from one’s inner Universe. The healing that happens through Preethi Siddhi is permanent because it is coming from the Eternal Source.",
Energy Healing,Polarity Therapy,,"Polarity Therapy is a holistic practice which was created in the late 19th century by Dr. Randolph Stone. A mixture of both Eastern and Western energy therapies, Polarity Therapy believes that an electromagnetic energy field surrounds the body and moves between its poles (positive, negative and neutral). The energy centers are based on the Ayurvedic chakras and the Traditional Chinese Medicine principle of yin and yang. Any blockage to the smooth and balanced flow of this energy causes dis-ease in the body. The Human Energy Field is affected by diet, touch, exercise, relationships and life experience. Polarity Therapy works on the principle of balancing these effects through bodywork, touch, exercises, counseling and nutritional advice.",
Energy Healing,NLP- Neuro-Linguistic Programming ,THRIIVE MODALITIES_SELF HELP-NLP.png,"Neuro-Linguistic Programming Therapy (NLP) describes the dynamic between neuro, which is mind, and linguistic which is language and how their conjunction affects one’s body and behavior. It aids one with anger management, stress management, anxiety, pain management and improving performance. The therapists could be effective without even knowing the problem in detail. This typically resolves issues in several brief sessions and tends to be pretty quick with results.",
Energy Healing,Reconnective Healing,THRIIVE MODALITIES_SELF HELP-RECONNECTIVE HEALING.png,"Reconnective Healing is a return to an optimal state of balance. It is the result of interacting with the fully comprehensive reconnective healing spectrum of frequencies that consists of energy, light and information. Its first basic element is energy. Energy is everything we are made up of organically, our very essence and our actual physical body. Light is the resonance and communication within these frequencies between the Universe and humans. It acquaints one with how to discover, access and become aware of one’s relationship with these reconnective healing frequencies.",
Energy Healing,Switch Words,THRIIVE MODALITIES_SELF HELP-SWITCH WORDS.png,"Switch Words are words that have the ability to switch your energy from one dimension to another. All words contain the power to be switch-words as they get registered in the sub-conscious part of the mind, so that one can even learn to use places, people and things to help them switch from one plane to another. This can become a valuable tool for self-transformation.",
Energy Healing,Heal your life Program by Louise Hay,THRIIVE MODALITIES_SELF HELP-HEAL YOUR LIFE PROGRAM BY LOUIS HAY.png,"Heal Your Life Program by Louise Hay is based on the principles of the book You Can Heal Your Life® by Louise L. Hay. This program is about YOU, the way you are, the key influences and events in your life that have brought you to where you are now and the way you would like your life to be. The process of healing your life begins with breaking through the layers of old conditioning and beliefs about how you “should” lead your life, identifying the problem areas and clearing out emotional clutter connected with them. These programs provide a series of practical steps to make these changes. Some of the benefits of this program are learning to love yourself and others more fully, releasing negative emotions that block your joy and creativity, and working with the body, mind and spirit to transform your life.",
Energy Healing,Gestalt Therapy,THRIIVE MODALITIES_SELF HELP-GESTALT THERAPY.png,"The German word ‘gestalt’ means shape or form, referencing the essence of something. Gestalt therapists use experiential techniques to enhance freedom, awareness, and self-direction for the clients. This focuses more on the process than on the content as to what is discussed. Even though it is a person-centered therapy, it emphasises more on the therapist’s use of understanding, empathy and unconditional acceptance of who is sitting in front of them.",
Energy Healing,Inner Child Healing,THRIIVE MODALITIES_SELF HELP-INNER CHILD HEALING.png,"Inner Child Work offers a thorough understanding and healing of the child within oneself and opens the floodgates to the bounty of inner being. If there was an overt abuse or neglect in one’s childhood or more subtle pressures and expectations, their psyche continues to bear childhood wounds. Everything one has ever experienced is stored in the body and mind. Events from childhood remain unhealed in most and become major contributors to the conflicts and problems experienced as adults. Inner child work shows how to give one’s Inner Child the nurturing attention it has always needed.",
Energy Healing,Transactional Analysis,THRIIVE MODALITIES_SELF HELP-TRANSACTIONAL ANALYSIS.png,"Transactional Analysis is a theory developed by the Psychotherapist Eric Berne who defined the unit for human social interaction as ‘transaction’. When two or more people interact and communicate, verbally or nonverbally, it can offer suggestions and interventions to therapists. This can enable one to change and grow. Transactional Analysis is underpinned by the philosophy that people exist in various states of being that are mutually interactive.",
Energy Healing,Family Constellation,THRIIVE MODALITIES_SELF HELP-FAMILY CONSTELLATION.png,"Family Constellation (Trans-generational Healing) is a dynamic therapy to heal an individual from deep underlying family patterns and trauma within their family system. This process involves taking the individual’s issues into a group with the therapist, where others in the group play roles of his/her family members. This process taps into the underlying energy dynamics of the family constellation, thereby opening up new possibilities and improving the relationships dramatically.",
Energy Healing,Non-violent communication ,THRIIVE MODALITIES_SELF HELP-NON VIOLENT COMMUNICATION.png,"Non-violent Communication (NVC) is based on the principles of nonviolence – the natural state of compassion when no violence is present in the heart. NVC begins by believing that we are all-compassionate by nature and that violent strategies, whether verbal or physical, are learned behaviors. People who practice NVC have found greater authenticity in their communication, increased understanding, deepening connection and conflict resolution.",non-violent-communication-nvc
Energy Healing,Creative Visualization,THRIIVE MODALITIES_SELF HELP-CREATIVE VISUALISATION.png,"Creative Visualisation is a mental technique that uses the imagination and subtle realms of existence to make dreams and goals a reality. Used in the right way, creative visualisation can improve your life and manifest success and prosperity. It can alter your environment and circumstances by causing events to take place, attracting money, possessions, work, people and love into your life. It is a process that is similar to daydreaming, involving conscious visualisation of the reality you wish to manifest. This demonstrates the natural process and the power of intention, thought and emotion over the laws that materially manifest.",
Energy Healing,Dolphin Healing Network,THRIIVE MODALITIES_SELF HELP-DOLPHIN HEALING NETWORK.png,"Dolphins can help one receive powerful healing energies due to the high frequency of their own collective consciousness. It is believed that dolphins have incarnated on Earth to help heal the energy of the planet and humans. One doesn’t have to swim with dolphins to receive these healing energies; in fact practitioners who can connect with dolphins can send the energy of dolphins either in person or through a distant healing session. It can be useful to overcome physical, emotional, mental or spiritual challenges.",
Energy Healing,Affirmation & Visualization Therapy,THRIIVE MODALITIES_SELF HELP-AFFIRMATION N VISUALISATION THERAPY.png,"Affirmations are amazing tools for taking charge of co-creating our reality and moving beyond our self-limiting beliefs. Affirmations are highly effective in manifesting opportunities and pursuing one’s desires since they are framed in the present tense, positive and rooted in the power of intention. A guided visual journey,using the power of the mind which is coupled with imagination, is a very effective tool for healing.",
Energy Healing,Sedona Method,THRIIVE MODALITIES_SELF HELP-SEDONA METHOD.png,"Sedona Method is a very powerful technique to help ‘let go’ of painful emotions and experiences that hold one back to later become excess emotional baggage. This method consists of asking the patient a series of questions that lead them to what one feels in the moment, and then gently guiding them to let go of that painful emotion or feeling.",
Energy Healing,Ho'oponopono,THRIIVE MODALITIES_SELF HELP-HOOPONOPONO.png,Ho’oponopono is a Hawaiian practice of reconciliation and forgiveness based on the principle that things that happen to you or in the world around you are your responsibility. It’s a 4-step process:,
Energy Healing,Biogenealogy,THRIIVE MODALITIES_ALTERNATIVE THERAPIES-BIOGENEALOGY.png,"Biogenealogy helps in diagnosing and treating effectively the psychic causes of the diseases affecting the patient. It works on the premise that our cells are a store-house of illnesses our ancestors were affected by. Hence the treatment has well-designed and tested methods for going deep, both biologically and emotionally, into the illness in order to find the effective cure.",
,Yoga ,THRIIVE MODALITIES_YOGA CATEGORY SYMBOL.png,,
Yoga ,Hatha Yoga,THRIIVE MODALITIES ENERGY HEALING_YOGA-HATHA YOGA.png,"Hatha Yoga is the authentic form of yoga uncorrupted by modern practices which includes the practice of asana and pranayama, to balance the energies of the individual. This practice is meditative and slow, where one must hold the pose/asana for maximum benefits like flexibility, strength and vitality. The regular practice creates a deep sense of body awareness, feeling of serenity, calm and stillness of the mind.",
Yoga ,Vinyasa Yoga,THRIIVE MODALITIES ENERGY HEALING_YOGA-VINYASA YOGA.png,"Vinyasa Yoga is a gradual step-by-step approach that systematically uses the union of breath and movement to create a “flow”. Vinyasa Yoga creates a flow of movement meditation through a specific sequence of asanas that bring the mind, body and soul of the practitioner to balance and harmony.",
Yoga ,Ashtanga Yoga,THRIIVE MODALITIES ENERGY HEALING_YOGA-ASHTANGA YOGA.png,"Ashtanga Yoga as described by Patanjali in the Yoga sutras is the “eight-limbs of Yoga”. This consists of practices that include internal and external purification processes, such as Yamas, Niyama, Asana, Pranayama, Pratyahara, Dharana, Dhyana and Samadhi. This is an all-inclusive way of life as the cleansing is believed to bring one closer to the Universal Self.",
Yoga ,Iyengar Yoga ,THRIIVE MODALITIES ENERGY HEALING_YOGA-IYENGAR YOGA.png,"Iyengar Yoga is a form of Hatha Yoga masterminded by the great Yogi, B.K.S Iyengar. He made the secrets of the Yoga sutras by Patanjali accessible to the common man. B.K.S. Iyengar greatly emphasized in his teaching the union of body, mind and emotions through regular practice. He designed and developed the use of props such as wooden gadgets, belts and ropes to help the practitioner achieve perfection in any asana.",
Yoga ,Kundalini Yoga,THRIIVE MODALITIES ENERGY HEALING_YOGA-KUNDALINI YOGA.png,"Kundalini Yoga is a practice originating from the school of Tantra which involves energizing and awakening the dormant cosmic life force, the Kundalini. This energy is awakened by a regular and steady practice of specific asanas, pranayama, meditation and chanting mantras. Kundalini Yoga is only meant for serious seekers who have already undergone some purification in order to be able to contain and hold the energy of the rising Kundalini.",
Yoga ,Mudras,THRIIVE MODALITIES ENERGY HEALING_YOGA-MUDRA.png,"Mudras are the subtle physiological postures adopted by the body to alter the flow of prana (cosmic energy), within the physical body.The use of mudra is a powerful key for linking the material and psychic realms. Mudras sensitize the mind to the experiences of the pranic body. The purpose of the Mudra is to evoke inner forces which otherwise lie dormant in the body and also to access spiritual realms and this is what makes Mudras a powerful tool.",
Yoga ,Tibetan Yoga,THRIIVE MODALITIES ENERGY HEALING_YOGA-TIBETAN YOGA.png,"Tibetan Yoga is a Chinese method of controlling your internal energy which is called Qi. Tibetan Yoga is about the movement of the body while using the mind and synchronizing it with breath. It is basically the practice of synchronizing mind, body and breath to create the desired results. Tibetan Yoga gives the practitioner a strong and flexible body, purified energy meridians and clarity of thought through visualisation and mastery of breath.",
Yoga ,Kriya Yoga,THRIIVE MODALITIES ENERGY HEALING_YOGA-KRIDA YOGA.png,"Kriya Yoga is an ancient yogic practice that enables the practitioners to gain control of their inner energy by regularly practicing kriyas. It involves practicing advanced pranayamas, mantras and mudras to accelerate spiritual development. This tradition is normally taught with an initiation into the mastery of inner energy and the outer world.",
,Readings & Rituals,THRIIVE MODALITIES_READINGS N RITUALS-CATEGORY SYMBOL.png,,
Readings & Rituals,Angel Reading,THRIIVE MODALITIES_READINGS N RITUALS-ANGEL CARD READING.png,Angel Reading is a non-denominational spiritual healing method that involves working with a person’s guardian angels and archangels to heal and harmonize every aspect of their life. Angel therapy also helps one to receive the divine guidance more clearly from the Creator and angels.,
Readings & Rituals,Tarot Card Reading,THRIIVE MODALITIES_READINGS N RITUALS-TAROT CARD.png,"In Tarot Card Reading, the therapist uses a pack of picture cards for the individual to choose from.By this method the Tarot Card Reader is able to connect with the present moment to tap into the inner source of all beings. The Reader studies the combination of cards picked by the individual and interprets the messages through their knowledge of symbolism and intuition. This guidance is the language of the Universe with specific relevance to the life of an individual.",
Readings & Rituals,Runes,THRIIVE MODALITIES_READINGS N RITUALS-RUNES GERMANIC ALPHABET.png,"Runes are an ancient Germanic alphabet used for writing, divination and magic. They come from an oracle from who one seeks advice and works best if one details their current circumstances and then asks a specific question. This is when the rune caster’s intuition becomes paramount.",
Readings & Rituals,Numerology,THRIIVE MODALITIES_READINGS N RITUALS-NUMEROLOGY.png,"According to Numerology, the Universe speaks in the language of numbers that it is not random but one that works through a mathematical approach. Numerologists also believe that each one of us has three numbers that are the most relevant: Psychic Number, Destiny Number and Name Number. They are well-versed in this ancient study which includes the analysis of numbers, patterns, their invisible influence, energetic relevance and their significance in our lives. Numerologists often suggest methods to alter these numbers to help us get rid of karmic blocks and throw open a flow of positive energy.",
Readings & Rituals,Cosmic Astrology,THRIIVE MODALITIES_READINGS N RITUALS-COSMIC ASTROLOGY.png,"Cosmic Astrology was established as a science in many different ancient civilizations around the world. Based on this study, the astrologer interprets the influence of stars, planets and other cosmic/ celestial objects on individual lives using the time and location of an individual’s birth, determining their zodiac sun sign, which also signifies the energy under which one’s soul chose to incarnate in this lifetime. There are numerous additional factors influencing overall karmic journey of each soul and by understanding the astrologer’s analysis, one can make an informed decision.",
Readings & Rituals,Aura Reading,THRIIVE MODALITIES_READINGS N RITUALS-AURA SENSING.png,"Auras are colorful electromagnetic energy fields that contain information about the energy flow of people, animals and plants at a deeper level. Every aura has many layers including information about your life, connections, changing moods, to deep-set emotions, physical ailments and the areas where the energy flow is obstructed by trapped emotions within the body. An Aura reading can reveal temporary findings that show up as short-term problems and chronic ailments. One can also see the deeper makings of the soul.",
Readings & Rituals,Dream Analysis,THRIIVE MODALITIES_READINGS N RITUALS-DREAM ANALYSIS.png,"Dream Analysis is a method of gaining a deeper understanding of oneself and one’s path in life through an analysis of the symbolism, which is the subconscious material that rises to the conscious mind while we are asleep. Dreams also connect us to the subtler realms of existence and indicate messages from guides, masters or Higher Self or simply give us signs and help uncover our emotions.",
